Variety,Year,Production,rPrice,Colour,Country
Barbera,2001,663.2000008,881.8482666,Red,Italy
Barbera,2002,747.0299931,1209.118164,Red,Italy
Barbera,2003,784.0000092,1041.076172,Red,Italy
Barbera,2004,1007.6222,717.4592285,Red,Italy
Barbera,2005,1055.000008,970.2692871,Red,Italy
Barbera,2006,815.9000174,791.8638916,Red,Italy
Barbera,2007,466.852123,1066.455322,Red,Italy
Barbera,2008,1019.510009,1152.897705,Red,Italy
Barbera,2009,84.69999981,595.8212891,Red,Italy
Barbera,2010,744.3000079,1734.372314,Red,Italy
Barbera,2011,120.4049997,427.766449,Red,Italy
Barbera,2012,485.2800056,1021.110107,Red,Italy
Barbera,2013,6.829999924,,Red,Italy
Barbera,2014,6.049999952,,Red,Italy
Barbera,2015,636.8899919,1227.739136,Red,Italy
Barbera,2016,374.4959977,1936.557129,Red,Italy
Barbera,2017,446.3859886,2392.589844,Red,Italy
Barbera,2018,384.519006,2476.407959,Red,Italy
Barbera,2019,552.0769946,,Red,Italy
Barbera,2020,516.931003,,Red,Italy
Barbera,2021,499.4529971,1667.824707,Red,Italy
Barbera,2022,373.385996,1229.899414,Red,Italy
Barbera,2023,174.216,2646.459717,Red,Italy
Cabernet Franc,2001,5669.999993,2214.466064,Red,France
Cabernet Franc,2002,5288.210032,1700.427124,Red,France
Cabernet Franc,2003,4493.300019,1601.736084,Red,France
Cabernet Franc,2004,5563.003171,1285.657837,Red,France
Cabernet Franc,2005,4198.799975,1422.429932,Red,France
Cabernet Franc,2006,3845.500003,1150.787354,Red,France
Cabernet Franc,2007,2425.96409,1199.463867,Red,France
Cabernet Franc,2008,3335.440011,1376.444214,Red,France
Cabernet Franc,2009,1905.373849,1071.076294,Red,France
Cabernet Franc,2010,2182.200003,1182.353271,Red,France
Cabernet Franc,2011,1047.698193,1009.961365,Red,France
Cabernet Franc,2012,2003.829991,995.7759399,Red,France
Cabernet Franc,2013,987.1504679,1122.168457,Red,France
Cabernet Franc,2014,793.0222516,1024.163452,Red,France
Cabernet Franc,2015,1167.299994,1390.900635,Red,France
Cabernet Franc,2016,893.1470036,1323.987183,Red,France
Cabernet Franc,2017,1148.933006,1636.866455,Red,France
Cabernet Franc,2018,855.9410031,1730.102173,Red,France
Cabernet Franc,2019,1056.396,1820.998901,Red,France
Cabernet Franc,2020,450.9459975,1993.653809,Red,France
Cabernet Franc,2021,1038.858001,1953.097778,Red,France
Cabernet Franc,2022,959.9149951,1345.070557,Red,France
Cabernet Franc,2023,567.726,1655.884277,Red,France
Cabernet Sauvignon,2001,247695.9991,2203.99585,Red,France
Cabernet Sauvignon,2002,264041.6782,1829.599243,Red,France
Cabernet Sauvignon,2003,235993.1995,1646.720215,Red,France
Cabernet Sauvignon,2004,327976.254,1345.370239,Red,France
Cabernet Sauvignon,2005,291087.797,1092.660767,Red,France
Cabernet Sauvignon,2006,279097.1979,985.5339355,Red,France
Cabernet Sauvignon,2007,181051.2437,1091.957275,Red,France
Cabernet Sauvignon,2008,255096.9096,1332.421143,Red,France
Cabernet Sauvignon,2009,229301.4111,999.4534912,Red,France
Cabernet Sauvignon,2010,206080.3991,875.4353027,Red,France
Cabernet Sauvignon,2011,195579.2907,738.0633545,Red,France
Cabernet Sauvignon,2012,196188.1693,865.1901855,Red,France
Cabernet Sauvignon,2013,207693.3627,925.5828857,Red,France
Cabernet Sauvignon,2014,202832.1715,785.824585,Red,France
Cabernet Sauvignon,2015,196489.3895,807.5316772,Red,France
Cabernet Sauvignon,2016,224117.6814,914.4819336,Red,France
Cabernet Sauvignon,2017,253313.4349,937.4507446,Red,France
Cabernet Sauvignon,2018,211405.528,994.8376465,Red,France
Cabernet Sauvignon,2019,228119.3964,1072.22876,Red,France
Cabernet Sauvignon,2020,202623.9193,1101.180664,Red,France
Cabernet Sauvignon,2021,275125.1017,995.5543213,Red,France
Cabernet Sauvignon,2022,223523.1044,827.6635132,Red,France
Cabernet Sauvignon,2023,137123.078,807.5343018,Red,France
Canada Muscat,2001,411.0999966,926.029541,White,United States
Canada Muscat,2002,555.9400059,860.4973755,White,United States
Canada Muscat,2003,287.0999996,722.9325562,White,United States
Canada Muscat,2004,107,696.6997681,White,United States
Canada Muscat,2005,209,602.1356201,White,United States
Canada Muscat,2006,0,0,White,United States
Canada Muscat,2007,0,0,White,United States
Canada Muscat,2008,59,656.8231201,White,United States
Canada Muscat,2009,923.8627319,530.852478,White,United States
